,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
2996,"Do not forsake her [the ship, the state], holding up her hands, For succor to your royal Clemency:",privation,nautical,politics,anatomy,assistance,judiciary,
2997,The burdenÂÂs weighty and will press age down. May I so rule that heaven may keep the crown.,labor,weight,suffering,LIFE'S CYCLE,politics,religion,preservation
2998,"choke all passion, And feminine complaints in thoughts of vengance.",violence,emotions,women,language,mental_faculty__state__entities,,
3001,In honor & in love all meane is sinne.Â ,devotion,emotions,sounds,religion,,,
3002,"Pale sadÂ AvernusÂ opes his yawning jaws, seeking to swallow up your murderous soul",emotions,myth,spatial,sleep,anatomy,food,violence
3004,"his captain's heart, Which in the scuffles of great fights has burst The buckles on his breast, reneges all temper",military,anatomy,violence,clothes,privation,emotions,
3006,"Thou changed and self-cover'd thing, for shame, Be-monster not your feature",transformation,concealment,deformities__disabilities,appearance,,,
3007,"Mine, and most of our fortunes, tonight, shall be drunk to bed.",mystical,food,sexuality,,,,
3008,"Fortune, Fate, & you [affections] whose powers direct our actions, And dwell within us",mystical,affection,politics,accommodation,spatial,,
3009,[murderer] O slave!,violence,social_status,,,,,
3010,"he that was a cheating Rogue here, shall be a justice of peace there [in hell];",deception,judiciary,religion,,,,
3011,"Do deeds to make heaven weep, all earth amazed; For nothing canst you to damnation add Greater than that.",religion,emotions,nature,emotions,privation,deception,
3012,"his flight [Â] is like the Rauens, that hauing spied a fat carckase, roams about to calmore of her fellowes to the prey.",animals,sensations,death,movement,language,social_relations,food
3013,Amends sits ever Above repentance,ethics,physical_activities,spatial,feelings,,,
3014,This task upon your shoulders only leans;,labor,anatomy,assistance,,,,
3015,"the very heire of all her sexe, That beares the Palme of beautie from'em all:",economics,women,nature,appearance,,,
3016,"Is't not an easie loss to lose theyr lookes, Whose hearts so soone are melted?",privation,sensations,anatomy,consumption,,,
3017,"The race of Gentry will quite run out now, Tis onely left to husbands:",humanity,social_status,consumption,matrimony,,,
3018,They flattered me like a dog; and told me I had white hairs in my beard ere the black ones were there.,recognition,animals,language,colors,anatomy,,
3019,"[Rome] Cradle of virtues, nurse of true renown",politics,domestic,ethics,food,recognition,,
3022,Fayre bud of fame ill cropt before your time,nature,recognition,architecture,time,,,
3024,Look on the tragic loading of this bed; This is your work: ,sensations,theatre,domestic,labor,,,
3027,"tis the spite of hell, the fiend's arch-mock, To lip a wanton in a secure couch, And to suppose her chaste!",ethics,religion,derision__offense___contempt,danger__safety,sexuality,mental_faculty__state__entities,domestic
3028,your furious angers live no longer.,emotions,life,privation,,,,
3029,"you madest your daughters your mothers: for when you gavest them the rod, and put'st down your own breeches,",transformation,familial,politics,privation,clothes,,
3031,"My labours all shall have a pleasing doom, If you but judge I will deserve ofÂ Rome",labor,sensations,destruction,mental_faculty__state__entities,recognition,politics,
3032,seld-shown flamens Do press among the popular throngs and puff To win a vulgar station: ,appearance,religion,violence,social_relations,breathing,spatial,
3033,"A neck two brests upon whose cherry niples, So many sweet CupidÂ sucked",anatomy,food,quantities,myth,,,
3034,All horrors of a guilty breast keep with thee!,emotions,judiciary,anatomy,preservation,,,
3035,"If you be but once tripped, we fall for ever.",quantities,physical_activities,time,,,,
3036,A Ghoast? where my Lord????I smell a Foxe [deception],mystical,social_status,sensations,animals,deception,,
3037,The general is my lover,military,emotions,,,,,
3038,"On the white pillowes of her naked brests,",colors,sleep,clothes,anatomy,,,
3040,"how high his aims reach, Nought but a Crown can measure. ",spatial,mental_faculty__state__entities,privation,politics,size,,
3041,"had I perished in that prosperous war, even in mine Honors height, ",death,military,recognition,spatial,,,
3042,"ErinnisÂ kindle now yourÂ StigianÂ brands, in discontentedÂ Brutus'Â boiling breast",myth,fire,feelings,temperature,anatomy,,
3043,the capring Cods-head tilting in the aire?,joviality,animals,anatomy,movement,nature,,
3045,gives his army wings to reach this town.,military,animals,urban,,,,
3046,"[Phaebus] Oft hid his face, and shunned such tragic sights.",myth,concealment,anatomy,privation,theatre,sensations,
3047,Euen asÂ JoveÂ went to meet his Semele. To the Diuell,myth,movement,religion,,,,
3048,Horribly stuff'd with epithets of war;,food,language,military,,,,
3049,What worse than mad are you That seeke out sorrowes?,suffering,mental_faculty__state__entities,discovering,emotions,,,
3050,"Had I Queen,Â Juno'sÂ herdmans hundred eyes, To gaze upon these two bright Suns of hers, Yet would they all be blinded instantly.",politics,myth,quantities,anatomy,sensations,nature,deformities__disabilities
3051,"Captains of your spoils,",military,economics,,,,,
3052,O ruin'd piece of nature! This great world Shall so wear out to nought.,destruction,nature,consumption,privation,,,
3053,now rise infernall tones The depe fetch'd grones Of laboring spirits that attend Erichtho.,mystical,religion,sounds,spatial,labor,social_relations,
3054,"I'll make assurance double sure, And take a bond of fate:",feelings,quantities,judiciary,mystical,,,
3055,"Twice like a Serpent have I cast my skin, Once when with mourning sighs I wept",quantities,animals,privation,anatomy,emotions,sounds,
3056,"Servant, low as my destiny, I kneele to thee,",social_status,spatial,mystical,social_relations,,,
3057,"saucy lictors Will catch at us, like strumpets",judiciary,sexuality,,,,,
3058,"devide that realm, But this breeds mortal war between them both",spatial,politics,reproduction,death,military,,
3059,That [head] whilom mounted with ambitions wings:,anatomy,physical_activities,character_traits__nature,animals,,,
3060,"Heaven is, and has his gracious eyes, To give men life not like entrapping spies.",religion,character_traits__nature,anatomy,life,deception,social_relations,
3061,he in riot swims to be in lack.,joviality,physical_attributes,privation,,,,
3062,"our renowned Rome, whose gratitude Towards her deserved children is enroll'd In Jove's own book, like an unnatural dam Should now eat up her own!",politics,recognition,familial,language,religion,animals,food
3063,"Tongue, show, falshood are To bloodiest deaths his parts so much admired,",anatomy,appearance,deception,death,mental_faculty__state__entities,,
3064,"No forges but their throats to vent our breaths? To form our lives in, and repose our deaths?",labor,anatomy,breathing,life,sleep,death,
3065,"My trembling heart misgives me what's befallen, heÂ is dead: hark how willingly the Echo iterates those deadly words",emotions,anatomy,death,sensations,sounds,language,
3066,"That (like a murthering piece, making lanes in armies The first man of a ranke, the whole ranke falling) If you have once wrong'd one man, y'are so farre From making him amends, that all his race, Friends and associates fall into your chace:",violence,spatial,military,social_status,ethics,familial,destruction
3068,"Tereas-like, thus I will force my passage to??? The Diuell.",myth,violence,spatial,religion,,,
3070,I and my sword will earn our chronicle:,character_traits__nature,weapons__armor,economics,language,,,
3072,Your health [drink/blessing] will make me sick sir.,medicine,food,religion,,,,
3074,it was a face So far beyond the artificial shine Of any womanÂÂs bought complex?Â¯on,anatomy,light,women,economics,appearance,,
3077,"In this attempt, your shame will ever liue.",violence,etiquette,time,life,,,
3079,"nor the redresses [escape] sleep,",judiciary,danger__safety,sleep,,,,
3080,"droops our general, Or melts in womanish compassion",military,consumption,women,emotions,,,
3081,slander not your thoughts With glorious untruth. ,etiquette,mental_faculty__state__entities,recognition,language,,,
3082,"I shall, like many a bad lawyer, run my conscience upon the greatest fee:",judiciary,ethics,economics,,,,
3083,"neuer let The most officious falsehood scape your tongue, ",resistance,devotion,deception,anatomy,,,
3084,She is as free from any hate to me As her bad mothers full. ,social_relations,emotions,ethics,familial,,,
3085,"Revenge, enter: and, though length of time Never lets any escape your constant justice, Yet now prevent that length. ",violence,spatial,time,danger__safety,ethics,privation,
3086,"Enter upon the portion of her soul, Her honour, which she calls her chastity, And bring it into expense",spatial,religion,recognition,language,sexuality,economics,
3087,"my delight, my joy, My star, my triumph, my sweet phantasy, My more than son, my love, my Concubine",sensations,emotions,astrology,military,mental_faculty__state__entities,familial,sexuality
3089,"When he lies along, After your way his tale pronounced shall bury His reasons with his body.",movement,spatial,language,death,mental_faculty__state__entities,anatomy,
3090,"All heavenly powers assist our rightful arms,",religion,assistance,ethics,military,,,
3091,"I have no such Letter, No wedded syllable of the least wrong",language,matrimony,ethics,,,,
3092,"all these [vices] are portable, With other graces weigh'd.",ethics,suffering,character_traits__nature,weight,,,
3093,"my thoughts are all on fire,",mental_faculty__state__entities,fire,,,,,
3095,"Thou shouldst desire to die, being miserable. --Not by his breath that is more miserable.",emotions,death,economics,breathing,suffering,,
3096,"[Spirits] in a dismall vale of darkenesse grone, Vnder the burthen of a thousand chaines",mystical,concealment,darkness,sounds,suffering,quantities,incarceration
3098,"in my swathed Infancye,",clothes,life's cycle,,,,,
3099,Mine honour's in mine own hands,recognition,anatomy,,,,,
3102,"[Like Hector] so for your victory and conquering acts we bring fair wreaths of Honor & renown, Which shall enternaly your head adorn.",myth,military,nature,recognition,time,anatomy,
